City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1209,Trelew,AR,19.36,clear sky,-43.249,-65.3051,Hotel Touring Club
1217,Taltal,CL,18.79,clear sky,-25.4,-70.4833,Residencial Karime
1219,Lompoc,US,20.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
1235,Balkanabat,TM,19.58,clear sky,39.5108,54.3671,Nebitchi Hotel
1239,Naze,JP,20.51,scattered clouds,28.3667,129.4833,Shishime Hotel
1240,Alice Springs,AU,20.68,clear sky,-23.7,133.8833,Desert Palms Alice Springs
1243,Port Huron,US,21.04,overcast clouds,42.9709,-82.4249,Fairfield Inn by Marriott Port Huron
1254,Gladstone,AU,21.96,scattered clouds,-23.85,151.25,Highpoint International Hotel
1269,Kasempa,ZM,19.71,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
1283,Chicama,PE,18.3,broken clouds,-7.8447,-79.1469,Balihai Bungalows
1289,Kadoma,JP,18.99,light rain,34.7333,135.5833,Hotel Agora Osaka Moriguchi
1291,Kentau,KZ,18.49,clear sky,43.5206,68.5094,Safary
1299,Colesberg,ZA,18.39,clear sky,-30.72,25.0972,Bhelekazi Guesthouse
1312,Navoi,UZ,18.71,clear sky,40.0844,65.3792,Silk Road Hotel Termez
1314,Panzhihua,CN,21.36,overcast clouds,26.5851,101.7128,Electric Power Hotel
1324,Teguise,ES,18.12,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
1330,Santiago Del Estero,AR,21.61,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
1331,Saverne,FR,20.07,broken clouds,48.8333,7.25,Hôtel Aux deux Clefs
1353,Chardara,KZ,18.95,clear sky,41.2547,67.9692,Жанаргул
1359,Viedma,AR,18.03,few clouds,-40.8135,-62.9967,Hotel Cristal
1405,Salawagan,PH,21.97,overcast clouds,7.7053,125.115,Violeta B. Cardona
1406,Torrijos,ES,18.93,overcast clouds,39.9819,-4.2835,Hotel La Salve
